time,transit,drive
0,0.005820503,0.034955835
2,0.016522719,0.097256155
4,0.029571911,0.1137944
6,0.042433346,0.11482804
8,0.051445738,0.088235294
10,0.055107022,0.07479797
12,0.057266241,0.071039278
14,0.067311303,0.065965044
16,0.056515208,0.05046044
18,0.044968081,0.042943056
20,0.037269996,0.038432625
22,0.036049568,0.029693667
24,0.033890349,0.026686713
26,0.039147578,0.018605525
28,0.034453624,0.021800413
30,0.02975967,0.01879346
32,0.02562899,0.018229656
34,0.02253098,0.015128735
36,0.023094255,0.011370043
38,0.019996245,0.012309716
40,0.021310552,0.010148468
42,0.023094255,0.006483744
44,0.021967706,0.0048863
46,0.020841157,0.00451043
48,0.0184003,0.001691411
50,0.018963575,0.001315542
52,0.01943297,0.000845706
54,0.018775817,0.001315542
56,0.015114532,0.001973313
58,0.011734885,0.000657771
60,0.011547127,0.00187935
62,0.012861434,0.00187935
64,0.01126549,0
66,0.008636876,0
68,0.008824634,0.000187935
70,0.006571536,0.000187935
72,0.007604206,9.39673E-05
74,0.003942922,0.000187935
76,0.002346977,0
78,0.001783703,0
80,0.001314307,0
82,0.000938791,0
84,0.000657154,0
86,0.000844912,0
88,0.000657154,0
90,0.000281637,0
92,0.000375516,0
94,9.38791E-05,0
96,0.000281637,0
98,0.000281637,0
100,0.000187758,0
102,0,0
104,0.000281637,0
