time,ward1,ward2,ward3,ward4,ward5,ward6,ward7,ward8
0,0.013299557,0.016528926,0.003121748,0.013732394,0.00986972,0.01794728,0.006742891,0.008932769
2,0.063331222,0.052341598,0.030176899,0.032394366,0.030398737,0.052159282,0.021401349,0.031734838
4,0.065864471,0.115702479,0.071800208,0.069014085,0.037110146,0.085249579,0.043389035,0.048895157
6,0.116529449,0.096418733,0.108220604,0.063028169,0.045795499,0.080762759,0.058927001,0.063939821
8,0.117162761,0.079889807,0.106139438,0.069014085,0.056454797,0.088053842,0.058927001,0.066760696
10,0.086763775,0.063360882,0.124869927,0.073943662,0.06198184,0.04935502,0.050718264,0.056417489
12,0.051931602,0.079889807,0.115504683,0.064084507,0.05211212,0.056646102,0.047493404,0.051716032
14,0.06269791,0.077134986,0.078043704,0.078521127,0.044216344,0.049915872,0.054822633,0.061589093
16,0.043698543,0.049586777,0.088449532,0.061971831,0.045005922,0.040942232,0.048959249,0.053361542
18,0.031665611,0.044077135,0.04578564,0.041549296,0.036715357,0.03589456,0.05570214,0.045369064
20,0.029765674,0.03030303,0.036420395,0.029929577,0.032767469,0.036455412,0.036646145,0.037141514
22,0.018366054,0.046831956,0.023933403,0.034507042,0.044611133,0.036455412,0.0313691,0.031029619
24,0.03419886,0.03030303,0.018730489,0.032042254,0.033162258,0.026360067,0.037525652,0.026563235
26,0.027232426,0.041322314,0.024973985,0.032042254,0.041452823,0.028603477,0.033421284,0.029149036
28,0.038632046,0.016528926,0.018730489,0.040140845,0.037110146,0.022994952,0.022574025,0.023507287
30,0.027865738,0.044077135,0.005202914,0.022535211,0.035530991,0.026360067,0.025798886,0.026798307
32,0.02279924,0.03030303,0.008324662,0.022887324,0.040663245,0.021873247,0.01729698,0.021391631
34,0.014566181,0.013774105,0.010405827,0.017253521,0.034346625,0.02692092,0.021401349,0.015044664
36,0.023432552,0.011019284,0.006243496,0.024647887,0.030003948,0.028603477,0.017003811,0.01551481
38,0.017732742,0.005509642,0.006243496,0.017253521,0.028424793,0.027481772,0.021108179,0.013634227
40,0.019632679,0.008264463,0.004162331,0.021830986,0.023292538,0.019068985,0.016710642,0.019981194
42,0.01709943,0.005509642,0.010405827,0.017957746,0.023687327,0.022994952,0.021987687,0.021626704
44,0.009499683,0.011019284,0.005202914,0.021830986,0.023292538,0.01794728,0.017883319,0.021391631
46,0.008866371,0.002754821,0.006243496,0.010915493,0.024871694,0.018508132,0.018762826,0.024447579
48,0.008866371,0.002754821,0.005202914,0.011619718,0.018555073,0.01346046,0.024039871,0.019746121
50,0.007599747,0.002754821,0.010405827,0.008098592,0.018949862,0.015143017,0.015831135,0.021156559
52,0.006966434,0.002754821,0.004162331,0.010915493,0.017370707,0.012899607,0.025505717,0.01880583
54,0.00569981,0.002754821,0.002081165,0.011971831,0.016581129,0.010656197,0.026678393,0.019981194
56,0.004433186,0.005509642,0.005202914,0.008802817,0.015001974,0.007851935,0.02081501,0.016455101
58,0.002533249,0,0.001040583,0.007746479,0.012633241,0.003365115,0.019055995,0.014574518
60,0.000633312,0.002754821,0.004162331,0.005633803,0.009080142,0.00673023,0.01729698,0.012693935
68,0.000633312,0.002754821,0,0.008802817,0.005132254,0.007291082,0.016710642,0.017630465
70,0,0.005509642,0.004162331,0.005633803,0.008290565,0.00224341,0.017883319,0.016690174
72,0,0,0.004162331,0.005985915,0.001973944,0.001121705,0.013192612,0.012223789
74,0,0,0.002081165,0.001760563,0.003553099,0.001682557,0.016417473,0.014104372
76,0,0.005509642,0.003121748,0.003873239,0.002368733,0.000560852,0.011140428,0.010108134
78,0,0,0.002081165,0.002112676,0.001579155,0,0.015831135,0.011753644
80,0,0,0.002081165,0.001760563,0.001579155,0,0.007622398,0.005406676
82,0,0,0,0.000704225,0.000394789,0.001121705,0.005863383,0.004701457
84,0,0,0.001040583,0.000352113,0.001579155,0,0.004104368,0.002350729
86,0,0,0,0,0.000394789,0.000560852,0.00351803,0.001175364
88,0,0,0,0.000352113,0.000789578,0,0.002345353,0.000940291
90,0,0,0,0,0,0,0.001465846,0.001410437
92,0,0,0,0,0,0,0.001172677,0.00164551
94,0,0,0,0,0.000394789,0,0.001759015,0.000470146
96,0,0,0,0,0.000394789,0,0,0.001880583
98,0,0,0,0,0,0,0.000586338,0.000940291
100,0,0,0,0,0,0,0,0.000235073
102,0,0,0,0,0,0,0,0.001175364
104,0,0,0,0,0,0,0.000586338,0.001175364
106,0,0,0,0,0,0,0,0.000470146
108,0,0,0,0,0,0,0,0.000705219
110,0,0,0,0,0,0,0,0.000470146
112,0,0,0,0,0,0,0,0.000235073
