grade,state,county,tract,school_address,school_name,latitude,longitude
K,11,11001,1,"3264 Stanton Rd. SE Washington, DC 20032",Turner ES,38.8475531,-76.9803446
K,11,11001,1,"220 HIGHVIEW PLACE SE, Washington, District of Columbia 20032",Center City PCS - Congress Heights,38.8415048,-77.0045486
K,11,11001,1,"3560 Warder St. NW Washington, DC 20010",Bruce-Monroe ES @ Park View,38.9339098,-77.0208497
K,11,11001,1,"4430 Newark St. NW Washington, DC 20016",Mann ES,38.9342023,-77.0881904
9,11,11001,1,"100 PEABODY STREET NW, Washington, District of Columbia 20011",Capital City PCS - High School,38.9623329,-77.0126768
K,11,11001,1,"533 48th Pl. NE Washington, DC 20019",Aiton ES,38.8970081,-76.9333547
K,11,11001,1,"4399 South Capitol Terr. SW Washington, DC 20032",Patterson ES,38.8267436,-77.0081966
9,11,11001,1,"410 8TH STREET NW, Washington, District of Columbia 20004",BASIS DC PCS,38.8953055,-77.0233079
K,11,11001,1,"33 RIGGS ROAD NE, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 2,38.9549207,-77.006643
9,11,11001,1,"4095 MINNESOTA AVENUE NE, Washington, District of Columbia 20019",Friendship PCS - Collegiate Academy,38.8975739,-76.9459339
K,11,11001,1,"6015 CHILLUM PLACE NE, Washington, District of Columbia 20011",Sela PCS,38.9640197,-77.007573
9,11,11001,1,"1027 45TH STREET NE, Washington, District of Columbia 20019",IDEA PCS,38.904173,-76.937087
K,11,11001,1,"1404 JACKSON STREET NE, Washington, District of Columbia 20017",Mary McLeod Bethune Day Academy PCS,38.9295686,-76.9863281
9,11,11001,1,"1000 Mt. Olivet Rd. NE Washington, DC 20002",Youth Services Center,38.9122586,-76.9886654
K,11,11001,1,"1200 L St. NW Washington, DC 20005",Thomson ES,38.9033858,-77.028505
K,11,11001,1,"510 WEBSTER STREET NW, Washington, District of Columbia 20011",Center City PCS - Petworth,38.9437731,-77.0208683
K,11,11001,1,"1100 50th Pl. NE Washington, DC 20019",Houston ES,38.9054178,-76.9302932
K,11,11001,1,"1217 WEST VIRGINIA AVENUE NE, Washington, District of Columbia 20002",Center City PCS - Trinidad,38.905386,-76.991479
K,11,11001,1,"915 Spring Rd. NW Washington, DC 20010",Raymond EC,38.9359279,-77.0261699
K,11,11001,1,"401 I St. SW Washington, DC 20024",Amidon-Bowen ES,38.8798345,-77.0182907
K,11,11001,1,"3375 Minnesota Ave. SE Washington, DC 20019",Kimball ES,38.8828821,-76.9575141
K,11,11001,1,"5600 Eads St. NE Washington, DC 20019",Drew ES,38.8961276,-76.9198214
K,11,11001,1,"430 Decatur St. NW Washington, DC 20011",Barnard ES,38.9479528,-77.0179956
K,11,11001,1,"421 P STREET NW, Washington, District of Columbia 20001",KIPP DC - Grow Academy PCS,38.909942,-77.018128
K,11,11001,1,"3950 37th St. NW Washington, DC 20008",Hearst ES,38.9405368,-77.0717568
9,11,11001,1,"1405 BRENTWOOD PARKWAY NE, Washington, District of Columbia 20002",KIPP DC - College Preparatory Academy PCS,38.9096159,-76.9935667
K,11,11001,1,"1200 S St. NW Washington, DC 20009",Garrison ES,38.9138357,-77.028449
K,11,11001,1,"6130 NORTH CAPITOL STREET NW, Washington, District of Columbia 20011",Ideal Academy PCS,38.9652643,-77.0095248
K,11,11001,1,"425 C St NE Washington, DC 20002",Peabody ES (Capitol Hill Clus),38.8928043,-76.9998748
