tract,households,married,singledad,singlemom,income,foodstamps,owners
Census Tract 1,5030,3032,97,55,,0,2725
Census Tract 2.01,0,0,0,0,,0,0
Census Tract 2.02,3943,1563,4,233,85417,0,2269
Census Tract 3,5399,2548,200,238,17100,11,3216
Census Tract 4,1492,1037,95,48,,0,1222
Census Tract 5.01,3098,809,0,132,27228,0,357
Census Tract 5.02,3073,1499,0,22,74000,9,1715
Census Tract 6,4039,2200,0,174,52500,0,2942
Census Tract 7.01,4470,1935,0,149,52697,0,2685
Census Tract 7.02,3184,710,168,74,26719,13,753
Census Tract 8.01,6564,3615,218,583,116047,32,3857
Census Tract 8.02,2552,1346,0,233,42212,0,1832
Census Tract 9.01,3701,2860,67,62,187750,0,3068
Census Tract 9.02,2295,1684,34,218,,0,2098
Census Tract 10.01,7378,5094,344,803,166917,0,6105
Census Tract 10.02,3130,1072,37,163,101471,0,1343
Census Tract 11,4132,2408,69,515,41815,0,3282
Census Tract 12,5135,2678,66,257,86094,16,2925
Census Tract 13.01,4113,2269,21,88,63315,0,1491
Census Tract 13.02,7635,2383,278,51,90302,40,2498
Census Tract 14.01,3467,2337,42,189,64750,17,2402
Census Tract 14.02,2904,1859,32,139,23750,0,1922
Census Tract 15,5950,4964,140,208,243520,9,5690
Census Tract 16,4237,2666,402,572,112688,0,3912
Census Tract 17.02,2711,1086,0,616,80324,0,1502
Census Tract 18.03,3305,1584,179,558,42753,15,711
Census Tract 18.04,5194,1635,1227,1048,39847,47,1377
Census Tract 19.01,3810,1545,274,1269,61098,11,2944
Census Tract 19.02,2173,988,130,747,66382,23,1580
Census Tract 20.01,2327,1135,161,557,43342,11,1265
Census Tract 20.02,3602,1274,406,904,53412,0,2598
Census Tract 21.01,5522,2429,405,1520,46474,19,3050
Census Tract 21.02,4797,1124,323,2077,42396,12,2352
Census Tract 22.01,3642,1531,77,1583,65134,0,2530
Census Tract 22.02,3472,788,264,1601,43871,4,1752
Census Tract 23.01,2820,575,261,1141,48680,0,1944
Census Tract 23.02,1348,176,47,144,65087,9,277
Census Tract 24,3625,1395,100,1254,52361,7,2334
Census Tract 25.01,2265,634,148,580,18958,0,1225
Census Tract 25.02,4977,1734,382,1275,35703,114,1786
Census Tract 26,2411,1478,83,262,100714,0,1793
Census Tract 27.01,4675,1022,358,727,48438,93,938
Census Tract 27.02,5157,2149,264,393,29946,112,2364
Census Tract 28.01,3940,993,555,911,40388,13,822
Census Tract 28.02,4584,825,779,1368,16507,71,662
Census Tract 29,4620,1322,115,1321,63682,34,1831
Census Tract 30,3438,622,251,1010,25238,0,895
Census Tract 31,3365,1091,336,912,51667,18,2354
Census Tract 32,4847,1521,396,1845,53836,63,2873
Census Tract 33.01,3006,946,198,419,80000,0,1903
Census Tract 33.02,2014,641,46,534,85069,0,1151
Census Tract 34,2635,664,336,496,34596,0,1351
Census Tract 35,2684,689,86,754,24792,25,1129
Census Tract 36,4082,650,269,1239,33571,61,1414
Census Tract 37,4179,743,159,1032,26875,23,734
Census Tract 38,4604,1194,219,258,46172,34,1375
Census Tract 39,4335,1247,203,244,39925,45,1322
Census Tract 40.01,3533,1221,115,123,120450,14,2148
Census Tract 40.02,2408,708,50,38,75393,13,974
Census Tract 41,2724,1251,112,66,68259,8,1391
Census Tract 42.01,3546,644,0,310,27321,21,1203
Census Tract 42.02,2457,623,0,50,90595,17,989
Census Tract 43,2933,818,367,172,34618,0,851
Census Tract 44,5277,1471,0,195,69000,0,2514
Census Tract 46,2630,649,205,910,43850,12,1165
Census Tract 47.01,3134,431,27,1506,12576,0,524
Census Tract 47.02,1494,245,0,335,28961,6,475
Census Tract 48.01,1972,372,104,490,39621,9,1222
Census Tract 48.02,3027,805,238,874,42132,0,496
Census Tract 49.01,2284,603,51,594,24386,0,585
Census Tract 49.02,2678,536,183,499,38646,0,822
Census Tract 50.01,1723,626,0,19,34205,0,841
Census Tract 50.02,6033,1925,542,316,17087,10,1248
Census Tract 52.01,5336,844,30,114,33514,0,2070
Census Tract 53.01,5240,1386,85,53,63587,27,2121
Census Tract 55,6434,2090,165,224,122396,69,2366
Census Tract 56,4974,904,268,100,19654,12,1515
Census Tract 58,2626,884,30,193,110500,0,1069
Census Tract 59,2411,568,0,72,24489,6,270
Census Tract 62.02,0,0,0,0,,0,0
Census Tract 64,1821,224,235,869,21509,0,401
Census Tract 65,2535,1359,30,67,77614,14,1582
Census Tract 66,1911,1057,0,0,178750,9,1016
Census Tract 67,4116,2266,173,221,56771,34,2723
Census Tract 68.01,1955,447,135,699,51838,34,1173
Census Tract 68.02,2385,961,344,459,98429,4,1453
Census Tract 68.04,0,0,0,0,,0,0
Census Tract 69,2361,1100,0,332,54651,0,1409
Census Tract 70,2165,942,49,188,38750,30,1219
Census Tract 71,3235,712,566,986,17778,8,1098
Census Tract 72,2701,722,107,333,35938,0,712
Census Tract 73.01,2377,1989,89,171,90069,6,0
Census Tract 73.04,3486,655,159,2070,33077,0,988
Census Tract 74.01,2309,249,263,1442,13165,17,244
Census Tract 74.03,3262,328,176,2312,30248,0,181
Census Tract 74.04,3442,543,193,2202,29267,0,863
Census Tract 74.06,3431,551,187,2439,29963,0,58
Census Tract 74.07,2399,489,370,1157,36806,0,808
Census Tract 74.08,2960,520,67,1968,17981,0,133
Census Tract 74.09,3788,544,299,2264,25474,0,782
Census Tract 75.02,4480,575,333,2827,28315,20,772
Census Tract 75.03,2505,390,91,1657,32024,0,697
Census Tract 75.04,2428,415,118,1437,18472,0,273
Census Tract 76.01,4232,1154,100,1869,42674,0,2788
